47064,CÁLCULO III,default
48047,EMPREENDEDORISMO E PLANO DE NEGÓCIOS,default
45534,BIOQUÍMICA INDUSTRIAL,default
45321,INTRODUÇÃO AOS PROCESSOS QUÍMICOS E BIOQUÍMICOS,default
45756,LABORATÓRIO DE QUÍMICA ORGÂNICA,default
45538,QUÍMICA INORGÂNICA E AMBIENTAL,default
45537,QUÍMICA ORGÂNICA I,default
45956,FISICA GERAL II,default
45957,LABORATÓRIO DE FÍSICA GERAL II,default
45846,LABORATÓRIO DE QUÍMICA ANALÍTICA,default
46011,LABORATÓRIO DE QUÍMICA ORGÂNICA E BIOQUÍMICA,default
45845,QUÍMICA ANALÍTICA,default
46074,EXPRESSÃO GRÁFICA I,default
46012,LABORATÓRIO DE ANÁLISE  INSTRUMENTAL,default
45553,MICROBIOLOGIA INDUSTRIAL,default
49289,ALGORITMOS E ESTRUTURAS DE DADOS I,default
49290,DESENVOLVIMENTO DE INTERFACES WEB,default
49287,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,default
49291,INTRODUÇÃO À COMPUTAÇÃO,default
49292,LABORATÓRIO DE COMPUTAÇÃO I,default
49293,TRABALHO INTERDISCIPLINAR DE SOFTWARE I,default
49766,ALGORITMOS E ESTRUTURAS DE DADOS II,default
49767,ARQUITETURA DE COMPUTADORES,default
49770,LABORATÓRIO DE COMPUTAÇÃO II,default
49768,MODELAGEM DE PROCESSOS DE NEGÓCIOS,default
49771,TRABALHO INTERDISCIPLINAR DE SOFTWARE II,default
50295,CIÊNCIAS DO AMBIENTE,default
50287,DESENHO AUXILIADO POR COMPUTADOR,default
45722,INTRODUÇÃO À ENGENHARIA ELÉTRICA,default
49578,GEOMETRIA ANALÍTICA,default
49261,EVOLUÇÃO DAS IDEIAS DA FÍSICA E DA MATEMÁTICA,default
49262,FUNDAMENTOS DE QUÍMICA,default
47819,"FUNDAMENTOS HISTÓRICOS, FILOSÓFICOS E SOCIOLÓGICOS DA EDUCAÇÃO (Virtual)",default
49263,PRÁTICA DE ENSINO: COLÓQUIOS EM FÍSICA E MATEMÁTICA,default
49577,FUNDAMENTOS DE MATEMÁTICA I,default
49580,GEOMETRIA PLANA E CONSTRUÇÕES GEOMÉTRICAS I,default
49581,PRÁTICA DE ENSINO: LEITURA E ESCRITA EM FÍSICA E MATEMÁTICA,default
49579,TRIGONOMETRIA,default
51812,SPECIAL TOPICS IN INFORMATION SYSTEMS: RELEASE ENGINEERING (Virtual),default
47063,ARQUITETURA DE COMPUTADORES III,default
47055,ALGORITMOS E ESTRUTURAS DE DADOS III,default
47062,ALGORITMOS EM GRAFOS,default
47067,PROCESSAMENTO DE IMAGENS DIGITAIS,default
47080,BANCOS DE DADOS,default
47079,COMPUTAÇÃO GRÁFICA,default
47073,LINGUAGENS DE PROGRAMAÇÃO,default
